name,version,license,ecosystem
bezhansalleh/filament-language-switch,3.1.1,MIT,composer
birpc,2.9.0,MIT,npm
blade-ui-kit/blade-heroicons,2.7.0,MIT,composer
blade-ui-kit/blade-icons,1.10.0,MIT,composer
brick/math,0.14.8,MIT,composer
carbonphp/carbon-doctrine-types,3.2.1,MIT,composer
chokidar,5.0.0,MIT,npm
cividash,,EUPL-1.2+,npm
codewithdennis/filament-simple-alert,v3.0.21,MIT,composer
copy-anything,4.0.5,MIT,npm
csstype,3.2.3,MIT,npm
danharrin/date-format-converter,v0.3.1,MIT,composer
danharrin/livewire-rate-limiting,v2.2.0,MIT,composer
dasprid/enum,1.0.7,BSD-2-Clause,composer
dflydev/dot-access-data,v3.0.3,MIT,composer
doctrine/dbal,4.4.3,MIT,composer
doctrine/deprecations,1.1.6,MIT,composer
doctrine/inflector,2.1.0,MIT,composer
doctrine/lexer,3.0.1,MIT,composer
dompurify,3.4.15,(MPL-2.0 OR Apache-2.0),npm
dragonmantank/cron-expression,v3.6.0,MIT,composer
egulias/email-validator,4.0.4,MIT,composer
entities,7.0.1,BSD-2-Clause,npm
estree-walker,2.0.2,MIT,npm
filament/actions,v3.3.54,MIT,composer
filament/filament,v3.3.54,MIT,composer
filament/forms,v3.3.54,MIT,composer
filament/infolists,v3.3.54,MIT,composer
filament/notifications,v3.3.54,MIT,composer
filament/spatie-laravel-settings-plugin,v3.3.54,MIT,composer
filament/spatie-laravel-translatable-plugin,v3.3.54,MIT,composer
filament/support,v3.3.54,MIT,composer
filament/tables,v3.3.54,MIT,composer
filament/widgets,v3.3.54,MIT,composer
firebase/php-jwt,v7.1.0,BSD-3-Clause,composer
fruitcake/php-cors,v1.4.0,MIT,composer
fsevents,2.3.2,MIT,npm
graham-campbell/result-type,v1.2.0,MIT,composer
guzzlehttp/guzzle,7.15.5,MIT,composer
guzzlehttp/promises,2.5.3,MIT,composer
guzzlehttp/psr7,2.13.1,MIT,composer
guzzlehttp/uri-template,v1.0.11,MIT,composer
hookable,5.5.3,MIT,npm
hookable,6.1.1,MIT,npm
is-what,5.5.0,MIT,npm
justinrainbow/json-schema,6.12.0,MIT,composer
kirschbaum-development/eloquent-power-joins,4.3.2,MIT,composer
laravel/fortify,v1.39.0,MIT,composer
laravel/framework,v12.69.1,MIT,composer
laravel/passkeys,v0.2.1,MIT,composer
laravel/prompts,v0.3.24,MIT,composer
laravel/sanctum,v4.3.3,MIT,composer
laravel/serializable-closure,v2.0.16,MIT,composer
laravel/socialite,v5.31.0,MIT,composer
laravel/tinker,v3.0.2,MIT,composer
league/commonmark,2.10.0,BSD-3-Clause,composer
league/config,v1.2.0,BSD-3-Clause,composer
league/csv,9.28.0,MIT,composer
league/flysystem,3.36.0,MIT,composer
league/flysystem-aws-s3-v3,3.35.3,MIT,composer
league/flysystem-local,3.35.3,MIT,composer
league/mime-type-detection,1.17.0,MIT,composer
league/oauth1-client,v1.11.0,MIT,composer
league/uri,7.8.1,MIT,composer
league/uri-interfaces,7.8.1,MIT,composer
lightningcss-android-arm64,1.32.0,MPL-2.0,npm
lightningcss-darwin-arm64,1.32.0,MPL-2.0,npm
lightningcss-darwin-x64,1.32.0,MPL-2.0,npm
lightningcss-freebsd-x64,1.32.0,MPL-2.0,npm
lightningcss-linux-arm-gnueabihf,1.32.0,MPL-2.0,npm
lightningcss-linux-arm64-gnu,1.32.0,MPL-2.0,npm
lightningcss-linux-arm64-musl,1.32.0,MPL-2.0,npm
lightningcss-linux-x64-gnu,1.32.0,MPL-2.0,npm
lightningcss-linux-x64-musl,1.32.0,MPL-2.0,npm
lightningcss-win32-arm64-msvc,1.32.0,MPL-2.0,npm
lightningcss-win32-x64-msvc,1.32.0,MPL-2.0,npm
lit,3.3.3,BSD-3-Clause,npm
lit-element,4.2.2,BSD-3-Clause,npm
lit-html,3.3.3,BSD-3-Clause,npm
livewire/livewire,v3.8.7,MIT,composer
magic-string,0.30.21,MIT,npm
